__typename,dateString,countryCode,countryName,sectorCode,sectorName,postingType,value
HiringLabSectoralPosting,2020-02-01,US,United States,math,Data & Analytics,NEW,100
HiringLabSectoralPosting,2020-02-01,US,United States,project,Project Management,NEW,100
HiringLabSectoralPosting,2020-02-01,US,United States,techhelp,"IT Infrastructure, Operations & Support",NEW,100
HiringLabSectoralPosting,2020-02-01,US,United States,techinfo,IT Systems & Solutions,NEW,100
HiringLabSectoralPosting,2020-02-01,US,United States,techsoftware,Software Development,NEW,100
HiringLabSectoralPosting,2020-02-02,US,United States,math,Data & Analytics,NEW,99.97
HiringLabSectoralPosting,2020-02-02,US,United States,project,Project Management,NEW,100.59
HiringLabSectoralPosting,2020-02-02,US,United States,techhelp,"IT Infrastructure, Operations & Support",NEW,100.25
HiringLabSectoralPosting,2020-02-02,US,United States,techinfo,IT Systems & Solutions,NEW,99.41
HiringLabSectoralPosting,2020-02-02,US,United States,techsoftware,Software Development,NEW,100.49
HiringLabSectoralPosting,2020-02-03,US,United States,math,Data & Analytics,NEW,99.74
HiringLabSectoralPosting,2020-02-03,US,United States,project,Project Management,NEW,101.45
HiringLabSectoralPosting,2020-02-03,US,United States,techhelp,"IT Infrastructure, Operations & Support",NEW,100.5
HiringLabSectoralPosting,2020-02-03,US,United States,techinfo,IT Systems & Solutions,NEW,99.37
HiringLabSectoralPosting,2020-02-03,US,United States,techsoftware,Software Development,NEW,101.01
HiringLabSectoralPosting,2020-02-04,US,United States,math,Data & Analytics,NEW,98.39
HiringLabSectoralPosting,2020-02-04,US,United States,project,Project Management,NEW,101.44
HiringLabSectoralPosting,2020-02-04,US,United States,techhelp,"IT Infrastructure, Operations & Support",NEW,99.75
HiringLabSectoralPosting,2020-02-04,US,United States,techinfo,IT Systems & Solutions,NEW,99.34
HiringLabSectoralPosting,2020-02-04,US,United States,techsoftware,Software Development,NEW,100.83
HiringLabSectoralPosting,2020-02-05,US,United States,math,Data & Analytics,NEW,97.49
HiringLabSectoralPosting,2020-02-05,US,United States,project,Project Management,NEW,101.34
HiringLabSectoralPosting,2020-02-05,US,United States,techhelp,"IT Infrastructure, Operations & Support",NEW,99.26
